======================
==> dynacell: Welcome!
======================

SVN revision-nr: 606
Starting time: Wed May 19 11:28:52 2021
Command line was: ./dynacell.64bit input.bs

==========================================
Input file:
 LigLigOverlap  0.4
 ProtLigOverlap  0.6
 RMSDwithHydrogens  no
 dc_modus  broadsampling
 ligandpdbfile  bs/ligand.pdb
 ligandtopologyfile  ligand.top
 ligandtype  small_molecule
 maxNrTries  100000
 maxdistancefromprotein  0.4
 numPoses  2000
 outputfile  bs/bs.log.out
 outputframefile  bs/bs.poses.pdb
 pdbfile  protein.pdb
 randomseed  123456
 rotate_ligand  yes
 rotationMode  randomized
 separateOutFiles  no
 subsetnonbonded  all
 topologyfile  protein.top
 translationDistance  0.4
 translation_mode  randomized
 useChargeGroups  no
 writeWholePose  no
==========================================

====================================================================================================================================================================================================
Starting Random Sampling
 Energies in kJ/mol, RMSD to initial pose in nm, Overlap (OL) without unit, PoseNr 0 is the starting structure, potential contains the solvent-energy-difference Total-(Subset+notSubset)
      PoseNr   torsion        improper       lj             coulomb        pair           solvent        solvSubset     solvNotSubset  potential      RMSD           MaxLigLigOL    AverageProtLigOL
 POSE      0   1.142664e+02   6.427127e+00  -3.610741e+01   5.419561e+02  -8.322318e+02   0.000000e+00   0.000000e+00   0.000000e+00  -9.576237e-01   0.000000e+00   3.394778e-01   5.634171e-02
 POSE      1   1.346847e+02   6.427127e+00   3.570773e+03   6.185022e+02  -8.353535e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.699765e+03   6.070295e-01   3.394778e-01   2.354037e-01
 POSE      2   1.348314e+02   6.427127e+00   1.496236e+04   6.101145e+02  -8.337391e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.508472e+04   5.082529e-01   3.394778e-01   1.809145e-01
 POSE      3   1.296834e+02   6.427127e+00   2.041068e+05   4.951039e+02  -8.288830e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.041138e+05   4.856052e-01   3.394778e-01   3.365859e-01
 POSE      4   1.169903e+02   6.427127e+00   8.038400e+04   5.062038e+02  -8.323603e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.038599e+04   7.343915e-01   3.394778e-01   2.619420e-01
 POSE      5   1.303228e+02   6.427127e+00   6.307204e+04   4.813883e+02  -8.361113e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.305880e+04   6.572955e-01   3.394778e-01   3.903698e-01
 POSE      6   1.227743e+02   6.427127e+00   3.251539e+05   4.135397e+02  -8.351765e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.250662e+05   7.020210e-01   3.394778e-01   3.908862e-01
 POSE      7   1.351355e+02   6.427127e+00   1.591241e+04   7.316992e+02  -8.340275e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.615638e+04   6.408640e-01   3.394778e-01   3.364354e-01
 POSE      8   1.419599e+02   6.427127e+00   3.939727e+03   6.387226e+02  -8.289344e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.102634e+03   4.306896e-01   3.394778e-01   7.308898e-02
 POSE      9   1.254011e+02   6.427127e+00   8.855498e+04   6.183973e+02  -8.306349e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.867931e+04   7.363924e-01   3.394778e-01   2.978283e-01
 POSE     10   1.348492e+02   6.427127e+00   5.409965e+04   4.653168e+02  -8.318672e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.407911e+04   6.044320e-01   3.394778e-01   2.770042e-01
 POSE     11   1.143564e+02   6.427127e+00   3.314302e+03   6.231763e+02  -8.355369e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.427457e+03   6.899253e-01   3.394778e-01   3.343084e-01
 POSE     12   1.265575e+02   6.427127e+00   8.565381e+04   4.675944e+02  -8.308707e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.562825e+04   7.733755e-01   3.394778e-01   3.420202e-01
 POSE     13   1.207297e+02   6.427127e+00  -6.788532e+01   5.785276e+02  -8.343552e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.175869e+00   2.146851e-01   3.394778e-01   5.409871e-02
 POSE     14   1.296359e+02   6.427127e+00   8.805113e+04   5.094070e+02  -8.296950e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.807164e+04   3.129253e-01   3.394778e-01   2.496203e-01
 POSE     15   1.272838e+02   6.427127e+00   7.243321e+04   5.502994e+02  -8.361928e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.248576e+04   4.609091e-01   3.394778e-01   4.978213e-01
 POSE     16   1.161746e+02   6.427127e+00   1.840518e+04   5.300731e+02  -8.314423e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.843114e+04   7.455430e-01   3.394778e-01   2.645163e-01
 POSE     17   1.343235e+02   6.427127e+00   3.058024e+05   4.297187e+02  -8.346083e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.057430e+05   5.543931e-01   3.394778e-01   5.607550e-01
 POSE     18   1.148418e+02   6.427127e+00   1.715600e+04   4.107938e+02  -8.322723e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.706052e+04   6.943863e-01   3.394778e-01   3.650549e-01
 POSE     19   1.197339e+02   6.427127e+00   3.808805e+04   6.716874e+02  -8.361096e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.825452e+04   6.514883e-01   3.394778e-01   2.486048e-01
 POSE     20   1.205762e+02   6.427127e+00   6.371911e+04   5.733785e+02  -8.322026e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.379202e+04   6.189053e-01   3.394778e-01   2.435867e-01
 POSE     21   1.312560e+02   6.427127e+00   2.028925e+04   5.312134e+02  -8.318982e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.033098e+04   6.149693e-01   3.394778e-01   1.733503e-01
 POSE     22   1.338862e+02   6.427127e+00   3.068546e+03   6.323033e+02  -8.316177e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.214277e+03   7.475918e-01   3.394778e-01   1.339461e-01
 POSE     23   1.274944e+02   6.427127e+00   4.677068e+04   5.626527e+02  -8.303917e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.684160e+04   5.156932e-01   3.394778e-01   2.623942e-01
 POSE     24   1.254129e+02   6.427127e+00   4.580010e+04   5.645802e+02  -8.360290e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.586522e+04   7.750050e-01   3.394778e-01   3.585496e-01
 POSE     25   1.469152e+02   6.427127e+00   1.632179e+05   6.387278e+02  -8.294122e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.633853e+05   6.974181e-01   3.394778e-01   2.555560e-01
 POSE     26   1.387578e+02   6.427127e+00   5.048606e+04   4.924752e+02  -8.305038e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.049795e+04   6.820078e-01   3.394778e-01   2.898311e-01
 POSE     27   1.377622e+02   6.427127e+00   5.438996e+03   5.483370e+02  -8.323836e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.503870e+03   6.123887e-01   3.394778e-01   2.473010e-01
 POSE     28   1.370331e+02   6.427127e+00   2.918643e+03   5.640893e+02  -8.290280e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.001896e+03   5.483900e-01   3.394778e-01   1.996918e-01
 POSE     29   1.286546e+02   6.427127e+00   9.730395e+03   6.310863e+02  -8.346270e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.866668e+03   6.082014e-01   3.394778e-01   2.466281e-01
 POSE     30   1.377653e+02   6.427127e+00   1.332886e+04   3.163868e+02  -8.323212e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.316185e+04   7.767859e-01   3.394778e-01   1.825695e-01
 POSE     31   1.164675e+02   6.427127e+00   7.631413e+02   5.473701e+02  -8.314832e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.066547e+02   5.859995e-01   3.394778e-01   1.482812e-01
 POSE     32   1.293777e+02   6.427127e+00   1.087183e+05   5.352373e+02  -8.284619e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.087656e+05   5.546146e-01   3.394778e-01   3.747273e-01
 POSE     33   1.328678e+02   6.427127e+00   9.149809e+04   5.491999e+02  -8.304470e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.156087e+04   5.361098e-01   3.394778e-01   3.008156e-01
 POSE     34   1.429550e+02   6.427127e+00   1.201940e+05   5.529080e+02  -8.310680e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.202699e+05   5.342999e-01   3.394778e-01   4.115860e-01
 POSE     35   1.365817e+02   6.427127e+00   1.370167e+05   5.532346e+02  -8.324900e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.370852e+05   7.262673e-01   3.394778e-01   3.071573e-01
 POSE     36   1.157527e+02   6.427127e+00   6.560062e+04   5.155661e+02  -8.323643e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.561074e+04   6.086419e-01   3.394778e-01   3.542502e-01
 POSE     37   1.393337e+02   6.427127e+00   1.109810e+05   3.972595e+02  -8.315544e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.108972e+05   5.978918e-01   3.394778e-01   4.827917e-01
 POSE     38   1.416704e+02   6.427127e+00   1.147516e+03   6.097239e+02  -8.298615e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.280208e+03   4.421865e-01   3.394778e-01   1.024074e-01
 POSE     39   1.232053e+02   6.427127e+00   8.417625e+03   5.391560e+02  -8.338144e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.457331e+03   6.356530e-01   3.394778e-01   2.796052e-01
 POSE     40   1.278935e+02   6.427127e+00   1.094620e+05   6.087074e+02  -8.308362e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.095789e+05   5.409385e-01   3.394778e-01   3.838784e-01
 POSE     41   1.261395e+02   6.427127e+00   1.688697e+03   5.888261e+02  -8.363598e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.778462e+03   5.703330e-01   3.394778e-01   1.240965e-01
 POSE     42   1.328104e+02   6.427127e+00   9.735954e+03   5.484726e+02  -8.325029e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.795893e+03   6.834015e-01   3.394778e-01   2.746368e-01
 POSE     43   1.344522e+02   6.427127e+00   1.724323e+04   5.746037e+02  -8.331699e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.733027e+04   5.859213e-01   3.394778e-01   1.888407e-01
 POSE     44   1.131868e+02   6.427127e+00   1.987599e+04   5.912450e+02  -8.376053e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.995398e+04   6.601397e-01   3.394778e-01   2.585010e-01
 POSE     45   1.249259e+02   6.427127e+00   9.260304e+04   5.373941e+02  -8.322698e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.264425e+04   2.733031e-01   3.394778e-01   2.687807e-01
 POSE     46   1.218970e+02   6.427127e+00   3.437696e+04   5.703991e+02  -8.358633e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.444455e+04   4.656197e-01   3.394778e-01   4.076229e-01
 POSE     47   1.254753e+02   6.427127e+00   3.447218e+04   5.040157e+02  -8.365648e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.447626e+04   6.739061e-01   3.394778e-01   2.876452e-01
 POSE     48   1.328355e+02   6.427127e+00   1.499140e+03   5.629378e+02  -8.336781e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.572395e+03   5.539741e-01   3.394778e-01   2.096676e-01
 POSE     49   1.272649e+02   6.427127e+00   4.748596e+04   6.611411e+02  -8.368545e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.764867e+04   7.748663e-01   3.394778e-01   2.959259e-01
 POSE     50   1.298247e+02   6.427127e+00   9.356884e+04   5.821390e+02  -8.323927e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.365957e+04   5.534396e-01   3.394778e-01   2.624764e-01
 POSE     51   1.248759e+02   6.427127e+00   5.744760e+04   5.820665e+02  -8.368009e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.752890e+04   2.856016e-01   3.394778e-01   2.061343e-01
 POSE     52   1.244534e+02   6.427127e+00   9.402611e+04   5.732620e+02  -8.364150e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.409857e+04   6.626621e-01   3.394778e-01   3.290342e-01
 POSE     53   1.218293e+02   6.427127e+00   1.854879e+04   6.197951e+02  -8.317024e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.866987e+04   7.134646e-01   3.394778e-01   3.225304e-01
 POSE     54   1.169721e+02   6.427127e+00   3.008157e+03   4.094038e+02  -8.372538e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.908438e+03   5.553733e-01   3.394778e-01   1.320375e-01
 POSE     55   1.289695e+02   6.427127e+00   1.686132e+03   4.944017e+02  -8.309682e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.689694e+03   7.258033e-01   3.394778e-01   1.995998e-01
 POSE     56   1.419903e+02   6.427127e+00   3.328477e+03   6.830366e+02  -8.313749e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.533288e+03   5.782612e-01   3.394778e-01   2.296013e-01
 POSE     57   1.170055e+02   6.427127e+00   2.982467e+03   5.397376e+02  -8.330072e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.017362e+03   4.263885e-01   3.394778e-01   1.883399e-01
 POSE     58   1.326388e+02   6.427127e+00   4.760949e+03   5.615321e+02  -8.280977e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.838181e+03   6.880564e-01   3.394778e-01   1.723613e-01
 POSE     59   1.280483e+02   6.427127e+00   1.086845e+04   5.160720e+02  -8.317542e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.089198e+04   6.341263e-01   3.394778e-01   1.806295e-01
 POSE     60   1.198935e+02   6.427127e+00   6.244368e+04   5.524437e+02  -8.324613e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.249471e+04   5.586498e-01   3.394778e-01   1.916493e-01
 POSE     61   1.333722e+02   6.427127e+00   4.556652e+04   5.340306e+02  -8.325178e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.561256e+04   6.551621e-01   3.394778e-01   3.350611e-01
 POSE     62   1.294734e+02   6.427127e+00   1.546031e+04   4.847520e+02  -8.286316e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.545706e+04   5.733529e-01   3.394778e-01   2.426758e-01
 POSE     63   1.359573e+02   6.427127e+00   5.746111e+04   5.746674e+02  -8.317555e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.755114e+04   6.353632e-01   3.394778e-01   2.498895e-01
 POSE     64   1.312536e+02   6.427127e+00   2.537084e+05   5.516978e+02  -8.315779e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.537709e+05   6.276423e-01   3.394778e-01   5.236385e-01
